x,y,distance
17,0,2550.424560546875
17,1,2351.002685546875
17,2,2145.338134765625
17,3,1941.380615234375
17,4,1735.744141
17,5,1530.389404296875
17,6,1328.281982421875
17,7,1127.274902
17,8,976.4791870117188
17,9,864.1048583984375
17,10,677.576416
17,11,480.15985107421875
17,12,257.3672180175781
17,13,98.03578949
17,14,95.48451996
17,15,92.97588348388672
17,16,90.59928131103516
17,17,88.24385070800781
17,18,85.90920258
17,19,83.59278869628906
17,20,81.34653473
17,21,79.09568786621094
17,22,76.84461212158203
17,23,74.73001098632812
17,24,72.60108184814453
17,25,69.63739776611328
17,26,65.01289367675781
17,27,61.83128738
17,28,59.751434326171875
17,29,56.87076950073242
17,30,53.72172546386719
17,31,51.13136672973633
17,32,48.403724670410156
17,33,45.82417678833008
17,34,43.64342117
17,35,41.670780181884766
17,36,39.952049255371094
17,37,38.42206573486328
17,38,37.18410110473633
17,39,36.045833587646484
17,40,34.8756218
17,41,33.639957427978516
17,42,32.41856384277344
17,43,31.23770523071289
17,44,30.064029693603516
17,45,28.83969497680664
17,46,27.651939392089844
17,47,26.55467987060547
17,48,25.512218475341797
17,49,24.515531539916992
17,50,23.630661010742188
17,51,22.81536102294922
17,52,22.040119171142578
17,53,21.368244171142578
17,54,20.804725646972656
17,55,20.25546646118164
17,56,19.707408905029297
17,57,19.160476684570312
17,58,18.63936996459961
17,59,18.148807525634766
17,60,17.66322135925293
17,61,17.178115844726562
17,62,16.693439483642578
17,63,16.20914649963379
17,64,15.730311393737793
17,65,15.270833015441895
17,66,14.811544418334961
17,67,14.352409362792969
17,68,13.893387794494629
17,69,13.443881034851074
17,70,13.008039474487305
17,71,12.57219123840332
17,72,12.13630485534668
17,73,11.73846435546875
17,74,11.346516609191895
17,75,10.954418182373047
17,76,10.56213379
17,77,10.186982154846191
17,78,9.827610969543457
17,79,9.467947006225586
17,80,9.107952117919922
17,81,8.747591972351074
17,82,8.386828422546387
17,83,8.034520149230957
17,84,7.685051441192627
17,85,7.335377216339111
17,86,6.985478401184082
17,87,6.635339736938477
17,88,6.284950256347656
17,89,5.934292793273926
17,90,5.583353042602539
17,91,5.232114791870117
17,92,4.880565166473389
17,93,4.528687477111816
17,94,4.176468849182129
17,95,3.8238940238952637
17,96,3.470946788787842
17,97,3.117614269256592
17,98,2.7638802528381348
17,99,2.4097323417663574
17,100,2.0551505088806152
17,101,1.7001272439956665
17,102,1.344640851020813
17,103,0.9886828660964966
17,104,0.6322284936904907
17,105,0.2752739191055298
17,106,-0.08219707
17,107,-0.440205932
17,108,-0.798764586
17,109,-1.157884955
17,110,-1.517582774
17,111,-1.877879024
17,112,-2.238778114
17,113,-2.600302696
17,114,-2.962462902
17,115,-3.325277805
17,116,-3.68875885
17,117,-4.052922249
17,118,-4.417784691
17,119,-4.783357143
17,120,-5.149655342
18,0,2505.054443359375
18,1,2306.614013671875
18,2,2101.772705078125
18,3,1898.575195
18,4,1693.242919921875
18,5,1489.063232421875
18,6,1287.408203
18,7,1089.200684
18,8,946.0845947265625
18,9,824.1333618164062
18,10,640.8132324
18,11,434.95855712890625
18,12,213.75489807128906
18,13,97.46390533447266
18,14,94.91210174560547
18,15,92.44901275634766
18,16,90.07698059082031
18,17,87.72602081298828
18,18,85.39705657958984
18,19,83.08937836
18,20,80.85426330566406
18,21,78.52320098876953
18,22,76.28931427001953
18,23,74.19089508
18,24,71.97060394
18,25,68.47438049316406
18,26,63.69945145
18,27,61.411476135253906
18,28,59.130672454833984
18,29,55.96987533569336
18,30,53.25259017944336
18,31,50.6145134
18,32,47.88838577270508
18,33,45.445926666259766
18,34,43.29623794555664
18,35,41.374507904052734
18,36,39.647422790527344
18,37,38.13346481323242
18,38,36.94461441040039
18,39,35.787071228027344
18,40,34.592620849609375
18,41,33.31648635864258
18,42,32.10193634033203
18,43,30.92034339904785
18,44,29.72622299194336
