x,underY,distance
0,0,3321.707763671875
0,1,3105.617431640625
0,2,2886.023438
0,3,2668.731201171875
0,4,2451.900879
0,5,2235.050537109375
0,6,2019.835205078125
0,7,1808.4049072265625
0,8,1597.047363
0,9,1396.166259765625
0,10,1250.919677734375
0,11,1137.95166
0,12,959.3721923828125
0,13,780.3540039
0,14,552.8234252929688
0,15,325.5636291503906
0,16,125.74907684326172
0,17,97.67841339111328
0,18,95.15779876708984
0,19,92.67029571533203
0,20,90.34856414794922
0,21,88.16173553466797
0,22,86.01213836669922
0,23,83.89717864990234
0,24,81.76919555664062
0,25,79.81118774414062
0,26,77.90666961669922
0,27,75.77790069580078
0,28,73.79863739013672
0,29,72.04634857177734
0,30,69.86852264404297
0,31,66.4613266
0,32,61.717384338378906
0,33,57.03666687011719
0,34,54.28963088989258
0,35,51.281429290771484
0,36,48.09687423706055
0,37,44.67739486694336
0,38,41.64735412597656
0,39,39.81446457
0,40,38.47010803222656
0,41,37.53266143798828
0,42,36.675479888916016
0,43,35.821651458740234
0,44,35.01832199
0,45,34.10850906
0,46,33.09748458862305
0,47,32.05059051513672
0,48,31.015575408935547
0,49,29.987884521484375
0,50,28.94509506225586
0,51,27.872848510742188
0,52,26.789485931396484
0,53,25.740720748901367
0,54,24.773710250854492
0,55,23.83733367919922
0,56,22.962116241455078
0,57,22.173423767089844
0,58,21.413114547729492
0,59,20.732303619384766
0,60,20.07085418701172
0,61,19.441011428833008
0,62,18.832069396972656
0,63,18.224992752075195
0,64,17.62809944152832
0,65,17.071386337280273
0,66,16.515522003173828
0,67,15.960333824157715
0,68,15.40894889831543
0,69,14.887306213378906
0,70,14.373948097229004
0,71,13.860575675964355
0,72,13.347038269042969
0,73,12.833183288574219
0,74,12.392083168029785
0,75,11.97809886932373
0,76,11.563685417175293
0,77,11.16463851928711
0,78,10.780476570129395
0,79,10.39561653137207
0,80,10.026898384094238
0,81,9.660789489746094
0,82,9.305006027
0,83,8.948659896850586
0,84,8.591696739196777
0,85,8.234071731567383
0,86,7.875739097595215
0,87,7.5166497230529785
0,88,7.156759262084961
0,89,6.796019554138184
0,90,6.434384346008301
0,91,6.071804046630859
0,92,5.708234786987305
0,93,5.343629360198975
0,94,4.977939605712891
0,95,4.611119270324707
0,96,4.243119716644287
0,97,3.8738975524902344
0,98,3.503404140472412
0,99,3.1315903663635254
0,100,2.7584099769592285
0,101,2.383819580078125
0,102,2.0077686309814453
0,103,1.6302114725112915
0,104,1.2511011362075806
0,105,0.8703919649124146
0,106,0.48803579807281494
0,107,0.10398352146148682
0,108,-0.281809688
0,109,-0.669390559
0,110,-1.058805346
0,111,-1.45010221
0,112,-1.843326926
0,113,-2.210495472
0,114,-2.574455738
0,115,-2.939260006
0,116,-3.304927826
0,117,-3.671478271
0,118,-4.038928509
0,119,-4.407299042
0,120,-4.776610374
1,0,3276.338379
1,1,3061.228271484375
1,2,2842.453857421875
1,3,2625.951904296875
1,4,2409.838134765625
1,5,2193.285400390625
1,6,1979.208496
1,7,1768.414794921875
1,8,1557.403809
1,9,1359.287841796875
1,10,1221.456055
1,11,1109.3380126953125
1,12,921.1876220703125
1,13,738.4407348632812
1,14,509.44769287109375
1,15,282.8975830078125
1,16,101.7605972290039
1,17,97.11180877685547
1,18,94.5830307
1,19,92.09231567382812
1,20,89.80957794189453
1,21,87.62815094
1,22,85.48317719
1,23,83.3741684
1,24,81.24689483642578
1,25,79.31725311279297
1,26,77.38523102
1,27,75.18999481201172
1,28,73.34339141845703
1,29,71.45652008
1,30,69.00017547607422
1,31,64.93118286132812
1,32,60.24510192871094
1,33,56.18575668334961
1,34,53.64513397216797
1,35,50.49822235107422
1,36,47.222694396972656
1,37,43.758079528808594
1,38,41.10770797729492
1,39,39.54553985595703
1,40,38.2644043
1,41,37.36734390258789
1,42,36.50968551635742
1,43,35.66540527
1,44,34.79392623901367
1,45,33.845664978027344
1,46,32.825740814208984
1,47,31.756649017333984
1,48,30.705394744873047
1,49,29.653709411621094
1,50,28.606082916259766
1,51,27.513811111450195
1,52,26.42859649658203
1,53,25.39495086669922
1,54,24.434263229370117
1,55,23.508831024169922
1,56,22.65959930419922
1,57,21.877365112304688
1,58,21.149368286132812
1,59,20.472518920898438
1,60,19.829530715942383
1,61,19.203279495239258
1,62,18.592761993408203
1,63,18.00938606262207
1,64,17.450462341308594
1,65,16.892547607421875
1,66,16.33547019958496
1,67,15.779060363769531
1,68,15.240212440490723
1,69,14.725631713867188
1,70,14.21118450164795
1,71,13.696728706359863
1,72,13.20398235321045
1,73,12.72918415
1,74,12.299943923950195
1,75,11.885370254516602
1,76,11.470375061035156
1,77,11.068288803100586
1,78,10.690438270568848
1,79,10.322246551513672
1,80,9.962633133
1,81,9.607070922851562
1,82,9.250996589660645
1,83,8.894363403320312
1,84,8.537123680114746
1,85,8.179229736328125
1,86,7.820638179779053
1,87,7.461300373077393
1,88,7.101171970367432
1,89,6.740204334259033
1,90,6.378353595733643
1,91,6.015571594238281
1,92,5.651812553405762
1,93,5.287031173706055
1,94,4.921179771
1,95,4.554214954376221
1,96,4.186086177825928
1,97,3.8167500495910645
1,98,3.4461584091186523
1,99,3.0742650032043457
1,100,2.7010245323181152
1,101,2.3263916969299316
1,102,1.9503194093704224
1,103,1.5727607011795044
1,104,1.1936675310134888
1,105,0.812996507
1,106,0.4306989908218384
1,107,0.046733022
1,108,-0.338951945
1,109,-0.726401687
1,110,-1.115661502
1,111,-1.506778121
1,112,-1.870385528
1,113,-2.23342514
1,114,-2.597281456
1,115,-2.961967468
1,116,-3.327507496
1,117,-3.693916321
1,118,-4.06121254
1,119,-4.429420471
1,120,-4.798553467
2,0,3230.968994140625
2,1,3016.839355
2,2,2798.883789
2,3,2583.172607421875
2,4,2367.775634765625
2,5,2151.520996
2,6,1938.5816650390625
2,7,1728.348876953125
2,8,1517.700927734375
2,9,1322.409423828125
2,10,1191.989013671875
2,11,1074.400634765625
2,12,882.8581543
2,13,694.4906616210938
2,14,466.07244873046875
2,15,241.71107482910156
2,16,99.04164123535156
2,17,96.54100799560547
2,18,94.00824737548828
2,19,91.52313995361328
2,20,89.26963043
2,21,87.09455108642578
2,22,84.95864105
2,23,82.8511734
2,24,80.74434661865234
2,25,78.82331848144531
2,26,76.81390380859375
2,27,74.62473297
2,28,72.87111664
2,29,70.81185150146484
2,30,67.93577575683594
2,31,63.39161301
2,32,58.740318298339844
2,33,55.70543670654297
2,34,52.91641616821289
2,35,49.67609786987305
2,36,46.26850128173828
2,37,42.875274658203125
2,38,40.82583999633789
2,39,39.27874755859375
2,40,38.07264709472656
2,41,37.20262145996094
2,42,36.34345626831055
2,43,35.47266769
2,44,34.56593704223633
2,45,33.57484817504883
2,46,32.53345871
2,47,31.458114624023438
2,48,30.37267494
2,49,29.319536209106445
2,50,28.248794555664062
2,51,27.154767990112305
2,52,26.068527221679688
2,53,25.049182891845703
2,54,24.094820022583008
2,55,23.18053627
2,56,22.36281967163086
2,57,21.59783172607422
2,58,20.891220092773438
2,59,20.229236602783203
2,60,19.58820343017578
2,61,18.96554946899414
